rank,score,kind,split,frame,box,note,verdict,reviewer
26,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_13__x1088_y480,0.66328 0.94844 0.06719 0.04063,no prediction of this class overlaps the box,,
27,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_13__x960_y480,0.86328 0.94844 0.06719 0.04063,no prediction of this class overlaps the box,,
28,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_14__x1088_y960,0.32969 0.96953 0.06563 0.06094,no prediction of this class overlaps the box,,
29,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_14__x960_y960,0.52969 0.96953 0.06563 0.06094,no prediction of this class overlaps the box,,
30,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_15__x0_y480,0.68672 0.30234 0.05156 0.07656,no prediction of this class overlaps the box,,
31,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_15__x1088_y0,0.64531 0.58359 0.03125 0.02969,no prediction of this class overlaps the box,,
32,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_15__x960_y0,0.71953 0.17031 0.02344 0.03438,no prediction of this class overlaps the box,,
33,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_15__x960_y0,0.84531 0.58359 0.03125 0.02969,no prediction of this class overlaps the box,,
34,0.7,orphan_label,train,AI4SHIPWRECKS__DR_Hanna_03__x1088_y960,0.03359 0.50313 0.06406 0.08125,no prediction of this class overlaps the box,,
35,0.7,orphan_label,train,AI4SHIPWRECKS__DR_Hanna_03__x480_y960,0.97578 0.50313 0.04844 0.08125,no prediction of this class overlaps the box,,
36,0.7,orphan_label,train,AI4SHIPWRECKS__DR_Hanna_03__x960_y960,0.23359 0.50313 0.06406 0.08125,no prediction of this class overlaps the box,,
37,0.7,orphan_label,train,AI4SHIPWRECKS__EB_Allen_06__x480_y480,0.01250 0.96016 0.02500 0.07969,no prediction of this class overlaps the box,,
38,0.7,orphan_label,train,AI4SHIPWRECKS__EB_Allen_07__x0_y0,0.65391 0.76016 0.04219 0.05781,no prediction of this class overlaps the box,,
39,0.7,orphan_label,train,AI4SHIPWRECKS__EB_Allen_07__x0_y480,0.65391 0.01953 0.04219 0.03906,no prediction of this class overlaps the box,,
40,0.7,orphan_label,train,AI4SHIPWRECKS__EB_Allen_21__x1088_y480,0.93594 0.17578 0.02187 0.08906,no prediction of this class overlaps the box,,
41,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_04__x0_y1543,0.11094 0.66172 0.02500 0.02031,no prediction of this class overlaps the box,,
42,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_05__x1088_y0,0.75078 0.36719 0.01719 0.03438,no prediction of this class overlaps the box,,
43,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_05__x960_y0,0.92812 0.36875 0.01562 0.03750,no prediction of this class overlaps the box,,
44,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_05__x960_y0,0.95078 0.36719 0.01719 0.03438,no prediction of this class overlaps the box,,
45,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_08__x480_y0,0.03906 0.41094 0.01875 0.01875,no prediction of this class overlaps the box,,
46,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_09__x960_y480,0.99062 0.65234 0.01875 0.02344,no prediction of this class overlaps the box,,
47,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_09__x960_y480,0.70234 0.71406 0.02031 0.02187,no prediction of this class overlaps the box,,
48,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_09__x960_y630,0.99062 0.41797 0.01875 0.02344,no prediction of this class overlaps the box,,
49,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_10__x0_y0,0.36875 0.87578 0.03438 0.03594,no prediction of this class overlaps the box,,
50,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_10__x0_y0,0.49062 0.97422 0.03438 0.02656,no prediction of this class overlaps the box,,
51,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_10__x0_y0,0.25234 0.98516 0.01719 0.01719,no prediction of this class overlaps the box,,
52,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_10__x0_y480,0.25234 0.23516 0.01719 0.01719,no prediction of this class overlaps the box,,
53,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_10__x0_y620,0.25234 0.01641 0.01719 0.01719,no prediction of this class overlaps the box,,
54,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_11__x1088_y621,0.85938 0.12344 0.01875 0.03125,no prediction of this class overlaps the box,,
55,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_11__x1088_y621,0.44375 0.13516 0.02813 0.02031,no prediction of this class overlaps the box,,
56,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_11__x960_y621,0.64375 0.13516 0.02813 0.02031,no prediction of this class overlaps the box,,
57,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x0_y480,0.55625 0.37266 0.01562 0.02031,no prediction of this class overlaps the box,,
58,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x0_y480,0.67656 0.61953 0.04375 0.02969,no prediction of this class overlaps the box,,
59,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x0_y480,0.78750 0.78438 0.01875 0.03125,no prediction of this class overlaps the box,,
60,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x0_y622,0.55625 0.15078 0.01562 0.02031,no prediction of this class overlaps the box,,
61,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x0_y622,0.67656 0.39766 0.04375 0.02969,no prediction of this class overlaps the box,,
62,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x0_y622,0.78750 0.56250 0.01875 0.03125,no prediction of this class overlaps the box,,
63,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x480_y480,0.01484 0.41094 0.01719 0.03438,no prediction of this class overlaps the box,,
64,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x480_y480,0.01719 0.73828 0.03438 0.04531,no prediction of this class overlaps the box,,
65,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x480_y480,0.03750 0.78438 0.01875 0.03125,no prediction of this class overlaps the box,,
66,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x480_y622,0.01484 0.18906 0.01719 0.03438,no prediction of this class overlaps the box,,
67,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x480_y622,0.01719 0.51641 0.03438 0.04531,no prediction of this class overlaps the box,,
68,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_12__x480_y622,0.03750 0.56250 0.01875 0.03125,no prediction of this class overlaps the box,,
69,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_13__x1088_y480,0.39609 0.12812 0.02031 0.02500,no prediction of this class overlaps the box,,
70,0.7,orphan_label,train,AI4SHIPWRECKS__Egyptian_13__x960_y480,0.59609 0.12812 0.02031 0.02500,no prediction of this class overlaps the box,,
71,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x480_y0,0.39766 0.44688 0.02344 0.06875,no prediction of this class overlaps the box,,
72,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x480_y0,0.67188 0.48047 0.01562 0.05781,no prediction of this class overlaps the box,,
73,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x480_y0,0.43438 0.61641 0.14062 0.04531,no prediction of this class overlaps the box,,
74,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x480_y233,0.39766 0.08281 0.02344 0.06875,no prediction of this class overlaps the box,,
75,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x480_y233,0.67188 0.11641 0.01562 0.05781,no prediction of this class overlaps the box,,
76,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x480_y233,0.72813 0.23828 0.06563 0.10781,no prediction of this class overlaps the box,,
77,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x480_y233,0.43438 0.25234 0.14062 0.04531,no prediction of this class overlaps the box,,
78,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x480_y233,0.43516 0.34531 0.22344 0.17188,no prediction of this class overlaps the box,,
79,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_03__x960_y233,0.03359 0.32969 0.06719 0.08125,no prediction of this class overlaps the box,,
80,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_07__x0_y480,0.88281 0.33984 0.23438 0.07656,no prediction of this class overlaps the box,,
81,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_07__x480_y0,0.33984 0.39687 0.05469 0.03125,no prediction of this class overlaps the box,,
82,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_07__x480_y480,0.26094 0.33984 0.49062 0.07656,no prediction of this class overlaps the box,,
83,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x0_y480,0.88203 0.66250 0.23594 0.14375,no prediction of this class overlaps the box,,
84,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x0_y480,0.94297 0.80469 0.11406 0.16250,no prediction of this class overlaps the box,,
85,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x0_y960,0.94297 0.06797 0.11406 0.13594,no prediction of this class overlaps the box,,
86,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x480_y1263,0.48828 0.02500 0.02969 0.03125,no prediction of this class overlaps the box,,
87,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x480_y480,0.13828 0.66250 0.24844 0.14375,no prediction of this class overlaps the box,,
88,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x480_y480,0.20703 0.80469 0.14219 0.16250,no prediction of this class overlaps the box,,
89,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x480_y960,0.20703 0.06797 0.14219 0.13594,no prediction of this class overlaps the box,,
90,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x480_y960,0.48359 0.43125 0.04219 0.10312,no prediction of this class overlaps the box,,
91,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x480_y960,0.43125 0.46328 0.04063 0.05156,no prediction of this class overlaps the box,,
92,0.7,orphan_label,train,AI4SHIPWRECKS__Heart_Failure_10__x480_y960,0.48828 0.49844 0.02969 0.03125,no prediction of this class overlaps the box,,
93,0.7,orphan_label,train,AI4SHIPWRECKS__Isaac_M_Scott_02__x0_y480,0.87578 0.96562 0.24844 0.06875,no prediction of this class overlaps the box,,
94,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x0_y480,0.28906 0.59219 0.05000 0.07500,no prediction of this class overlaps the box,,
95,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x0_y7200,0.81250 0.49062 0.02500 0.01875,no prediction of this class overlaps the box,,
96,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x0_y7200,0.89297 0.71719 0.02031 0.01875,no prediction of this class overlaps the box,,
97,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x1088_y6720,0.38203 0.80078 0.02031 0.01719,no prediction of this class overlaps the box,,
98,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x1088_y7200,0.38203 0.05078 0.02031 0.01719,no prediction of this class overlaps the box,,
99,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x480_y7200,0.06250 0.49062 0.02500 0.01875,no prediction of this class overlaps the box,,
100,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x480_y7200,0.14297 0.71719 0.02031 0.01875,no prediction of this class overlaps the box,,
101,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x960_y6720,0.58203 0.80078 0.02031 0.01719,no prediction of this class overlaps the box,,
102,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_02__x960_y7200,0.58203 0.05078 0.02031 0.01719,no prediction of this class overlaps the box,,
103,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_04__x0_y2880,0.03047 0.88438 0.05781 0.21875,no prediction of this class overlaps the box,,
104,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_04__x0_y3360,0.23906 0.31484 0.01562 0.02031,no prediction of this class overlaps the box,,
105,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_04__x1088_y8640,0.54219 0.70312 0.01875 0.10625,no prediction of this class overlaps the box,,
106,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_04__x1088_y8687,0.54219 0.62969 0.01875 0.10625,no prediction of this class overlaps the box,,
107,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_04__x960_y8640,0.74219 0.70312 0.01875 0.10625,no prediction of this class overlaps the box,,
108,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_04__x960_y8687,0.74219 0.62969 0.01875 0.10625,no prediction of this class overlaps the box,,
109,0.7,orphan_label,train,AI4SHIPWRECKS__Near_Shore_05__x0_y6720,0.66016 0.23203 0.05156 0.07969,no prediction of this class overlaps the box,,
110,0.7,orphan_label,train,AI4SHIPWRECKS__Oscar_T_Flint_03__x1088_y1920,0.72969 0.75000 0.06875 0.02813,no prediction of this class overlaps the box,,
111,0.7,orphan_label,train,AI4SHIPWRECKS__Oscar_T_Flint_10__x0_y480,0.62344 0.61641 0.02187 0.02656,no prediction of this class overlaps the box,,
112,0.7,orphan_label,train,AI4SHIPWRECKS__Oscar_T_Flint_11__x480_y480,0.98047 0.90547 0.03906 0.02969,no prediction of this class overlaps the box,,
113,0.7,orphan_label,train,AI4SHIPWRECKS__Oscar_T_Flint_11__x480_y960,0.98047 0.15547 0.03906 0.02969,no prediction of this class overlaps the box,,
114,0.7,orphan_label,train,AI4SHIPWRECKS__Oscar_T_Flint_12__x1088_y480,0.04766 0.77031 0.07031 0.03438,no prediction of this class overlaps the box,,
115,0.7,orphan_label,train,AI4SHIPWRECKS__Oscar_T_Flint_12__x1088_y960,0.01953 0.79609 0.03906 0.03906,no prediction of this class overlaps the box,,
116,0.7,orphan_label,train,AI4SHIPWRECKS__Oscar_T_Flint_12__x480_y960,0.76719 0.00781 0.05312 0.01562,no prediction of this class overlaps the box,,
117,0.7,orphan_label,train,AI4SHIPWRECKS__Oscar_T_Flint_12__x960_y960,0.01094 0.23750 0.02187 0.04375,no prediction of this class overlaps the box,,
118,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_01__x0_y0,0.44609 0.38281 0.06719 0.06875,no prediction of this class overlaps the box,,
119,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_01__x0_y1146,0.30469 0.38359 0.05625 0.03594,no prediction of this class overlaps the box,,
120,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_01__x0_y1146,0.17109 0.49219 0.05781 0.02500,no prediction of this class overlaps the box,,
121,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_01__x0_y960,0.30469 0.67422 0.05625 0.03594,no prediction of this class overlaps the box,,
122,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_01__x0_y960,0.17109 0.78281 0.05781 0.02500,no prediction of this class overlaps the box,,
123,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_02__x0_y0,0.59922 0.58516 0.04844 0.02969,no prediction of this class overlaps the box,,
124,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_02__x1088_y1185,0.65391 0.09688 0.02344 0.01562,no prediction of this class overlaps the box,,
125,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_02__x1088_y1185,0.75859 0.13047 0.02344 0.02344,no prediction of this class overlaps the box,,
126,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_02__x960_y1185,0.85391 0.09688 0.02344 0.01562,no prediction of this class overlaps the box,,
127,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_02__x960_y1185,0.95859 0.13047 0.02344 0.02344,no prediction of this class overlaps the box,,
128,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_03__x0_y480,0.23203 0.25625 0.04219 0.02187,no prediction of this class overlaps the box,,
129,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_03__x1088_y480,0.17109 0.85703 0.05469 0.04844,no prediction of this class overlaps the box,,
130,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_03__x1088_y960,0.17109 0.10703 0.05469 0.04844,no prediction of this class overlaps the box,,
131,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_03__x960_y480,0.37109 0.85703 0.05469 0.04844,no prediction of this class overlaps the box,,
132,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_03__x960_y480,0.19922 0.93906 0.02344 0.01562,no prediction of this class overlaps the box,,
133,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_03__x960_y960,0.37109 0.10703 0.05469 0.04844,no prediction of this class overlaps the box,,
134,0.7,orphan_label,train,AI4SHIPWRECKS__Pewabic_03__x960_y960,0.19922 0.18906 0.02344 0.01562,no prediction of this class overlaps the box,,
135,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x0_y1265,0.06406 0.40391 0.12812 0.08594,no prediction of this class overlaps the box,,
136,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x0_y480,0.35625 0.59531 0.24063 0.08125,no prediction of this class overlaps the box,,
137,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x0_y480,0.98047 0.77578 0.03906 0.07031,no prediction of this class overlaps the box,,
138,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x0_y480,0.85781 0.83672 0.01875 0.05156,no prediction of this class overlaps the box,,
139,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x0_y960,0.29297 0.27031 0.07656 0.08438,no prediction of this class overlaps the box,,
140,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x0_y960,0.06406 0.88047 0.12812 0.08594,no prediction of this class overlaps the box,,
141,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x480_y480,0.34844 0.70625 0.05937 0.04375,no prediction of this class overlaps the box,,
142,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x480_y480,0.23281 0.77578 0.04375 0.07031,no prediction of this class overlaps the box,,
143,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x480_y960,0.23281 0.03047 0.04375 0.06094,no prediction of this class overlaps the box,,
144,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_02__x480_y960,0.39062 0.16406 0.03125 0.04063,no prediction of this class overlaps the box,,
145,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_04__x1088_y480,0.08203 0.55391 0.16406 0.06406,no prediction of this class overlaps the box,,
146,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_04__x1088_y960,0.77500 0.29844 0.02813 0.12812,no prediction of this class overlaps the box,,
147,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_04__x480_y960,0.00781 0.47891 0.01562 0.03906,no prediction of this class overlaps the box,,
148,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_04__x960_y480,0.27344 0.55391 0.18125 0.06406,no prediction of this class overlaps the box,,
149,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_06__x1088_y1257,0.70469 0.03984 0.26250 0.05469,no prediction of this class overlaps the box,,
150,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_06__x1088_y480,0.63438 0.98984 0.06250 0.02031,no prediction of this class overlaps the box,,
151,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_06__x1088_y960,0.68828 0.34766 0.04531 0.04844,no prediction of this class overlaps the box,,
152,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_06__x960_y1257,0.88672 0.03984 0.22656 0.05469,no prediction of this class overlaps the box,,
153,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_06__x960_y480,0.83437 0.98984 0.06250 0.02031,no prediction of this class overlaps the box,,
154,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_06__x960_y960,0.88828 0.34766 0.04531 0.04844,no prediction of this class overlaps the box,,
155,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_07__x0_y1230,0.75234 0.65312 0.30469 0.19375,no prediction of this class overlaps the box,,
156,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_07__x0_y480,0.16406 0.56328 0.32500 0.20469,no prediction of this class overlaps the box,,
157,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x0_y1920,0.88984 0.55781 0.02969 0.08438,no prediction of this class overlaps the box,,
158,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x0_y1920,0.92031 0.58516 0.02813 0.04531,no prediction of this class overlaps the box,,
159,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x0_y1920,0.86562 0.62266 0.02500 0.04531,no prediction of this class overlaps the box,,
160,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x0_y2880,0.81719 0.71797 0.01875 0.02031,no prediction of this class overlaps the box,,
161,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y1440,0.05078 0.94063 0.08906 0.01875,no prediction of this class overlaps the box,,
162,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y1920,0.05078 0.19062 0.08906 0.01875,no prediction of this class overlaps the box,,
163,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y1920,0.06953 0.60625 0.05781 0.02813,no prediction of this class overlaps the box,,
164,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y1920,0.36328 0.77187 0.04844 0.08125,no prediction of this class overlaps the box,,
165,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y1920,0.16406 0.91328 0.03750 0.02969,no prediction of this class overlaps the box,,
166,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y1920,0.05156 0.94766 0.01875 0.02344,no prediction of this class overlaps the box,,
167,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y1920,0.09531 0.94688 0.01562 0.02500,no prediction of this class overlaps the box,,
168,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y1920,0.32109 0.97500 0.28594 0.05000,no prediction of this class overlaps the box,,
169,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y2400,0.36328 0.03125 0.04844 0.06250,no prediction of this class overlaps the box,,
170,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y2400,0.16406 0.16328 0.03750 0.02969,no prediction of this class overlaps the box,,
171,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y2400,0.24609 0.72344 0.04219 0.02187,no prediction of this class overlaps the box,,
172,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y2400,0.10625 0.96328 0.05625 0.01719,no prediction of this class overlaps the box,,
173,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y2880,0.10625 0.21328 0.05625 0.01719,no prediction of this class overlaps the box,,
174,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x1088_y2880,0.78125 0.67500 0.13125 0.01875,no prediction of this class overlaps the box,,
175,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x480_y1440,0.97813 0.94063 0.04375 0.01875,no prediction of this class overlaps the box,,
176,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x480_y1920,0.97813 0.19062 0.04375 0.01875,no prediction of this class overlaps the box,,
177,0.7,orphan_label,train,AI4SHIPWRECKS__WP_Rend_10__x480_y1920,0.13984 0.55781 0.02969 0.08438,no prediction of this class overlaps the box,,
